time	V(compout)	V(input)
4.119025317203398e-07	1.417064e-01	2.964036e-04
4.233311031489115e-07	1.417064e-01	2.959379e-04
4.423311031489114e-07	1.417064e-01	2.951927e-04
4.613311031489111e-07	1.417064e-01	2.944770e-04
4.803311031489110e-07	1.417064e-01	2.937908e-04
4.993311031489108e-07	1.417064e-01	2.931342e-04
5.183311031489107e-07	1.417064e-01	2.925070e-04
5.373311031489105e-07	1.417064e-01	2.919094e-04
5.563311031489102e-07	1.417064e-01	2.913413e-04
5.634739602917671e-07	1.417064e-01	2.911332e-04
5.706168174346240e-07	1.417064e-01	2.909283e-04
5.777596745774811e-07	1.417064e-01	2.907268e-04
5.849025317203380e-07	1.417064e-01	2.905287e-04
5.920453888631949e-07	1.417064e-01	2.903338e-04
5.991882460060518e-07	1.417064e-01	2.901423e-04
6.063311031489087e-07	1.417064e-01	2.899541e-04
6.073311031489087e-07	1.417064e-01	2.899280e-04
6.269025317203367e-07	1.417064e-01	2.894314e-04
6.464739602917646e-07	1.417064e-01	2.889550e-04
6.660453888631926e-07	1.417064e-01	2.884988e-04
6.856168174346206e-07	1.417064e-01	2.880627e-04
7.051882460060485e-07	1.417064e-01	2.876467e-04
7.247596745774765e-07	1.417064e-01	2.872509e-04
7.443311031489044e-07	1.417064e-01	2.868753e-04
7.586168174346183e-07	1.417064e-01	2.866110e-04
7.729025317203322e-07	1.417064e-01	2.863549e-04
7.871882460060460e-07	1.417064e-01	2.861068e-04
8.014739602917598e-07	1.417064e-01	2.858669e-04
8.157596745774737e-07	1.417064e-01	2.856351e-04
8.300453888631876e-07	1.417064e-01	2.854114e-04
8.443311031489014e-07	1.417064e-01	2.851959e-04
8.631882460060440e-07	1.417064e-01	2.849227e-04
8.820453888631866e-07	1.417064e-01	2.846602e-04
9.009025317203292e-07	1.417064e-01	2.844084e-04
9.197596745774718e-07	1.417064e-01	2.841674e-04
9.386168174346144e-07	1.417064e-01	2.839372e-04
9.574739602917570e-07	1.417064e-01	2.837176e-04
9.763311031488996e-07	1.417064e-01	2.835089e-04
9.801101455561997e-07	1.417064e-01	2.834679e-04
9.838891879634998e-07	1.417064e-01	2.834273e-04
9.876682303707999e-07	1.417064e-01	2.833870e-04
9.914472727780998e-07	1.417064e-01	2.833472e-04
