time	V(compout)
1.119497757600453e-06	1.417126e-01
1.121926329029024e-06	1.417126e-01
1.125354900457596e-06	1.417126e-01
1.128783471886168e-06	1.417126e-01
1.132212043314739e-06	1.417126e-01
1.135640614743311e-06	1.417126e-01
1.139069186171883e-06	1.417126e-01
1.142497757600455e-06	1.417126e-01
1.145926329029026e-06	1.417126e-01
1.149640614743312e-06	1.417126e-01
1.153354900457598e-06	1.417126e-01
1.157069186171884e-06	1.417126e-01
1.160783471886170e-06	1.417126e-01
1.164497757600456e-06	1.417126e-01
1.168212043314742e-06	1.417126e-01
1.171926329029028e-06	1.417126e-01
1.175354900457600e-06	1.417126e-01
1.178783471886171e-06	1.417126e-01
1.182212043314743e-06	1.417126e-01
1.185640614743315e-06	1.417126e-01
1.189069186171886e-06	1.417126e-01
1.192497757600458e-06	1.417126e-01
1.195926329029030e-06	1.417126e-01
1.199640614743316e-06	1.417126e-01
1.203354900457602e-06	1.417126e-01
1.207069186171888e-06	1.417126e-01
1.210783471886174e-06	1.417126e-01
1.214497757600460e-06	1.417126e-01
1.218212043314746e-06	1.417126e-01
1.221926329029032e-06	1.417126e-01
1.228212043314747e-06	1.417126e-01
1.234497757600461e-06	1.417126e-01
1.240783471886176e-06	1.417126e-01
1.247069186171891e-06	1.417126e-01
1.253354900457606e-06	1.417126e-01
1.259640614743320e-06	1.417126e-01
1.265926329029035e-06	1.417126e-01
1.271212043314750e-06	1.417126e-01
1.276497757600465e-06	1.417126e-01
1.281783471886179e-06	1.417126e-01
1.287069186171894e-06	1.417126e-01
1.292354900457608e-06	1.417126e-01
1.297640614743323e-06	1.417126e-01
1.302926329029038e-06	1.417126e-01
1.312926329029039e-06	1.417126e-01
1.322926329029039e-06	1.417126e-01
1.332926329029040e-06	1.417126e-01
1.342926329029041e-06	1.417126e-01
1.352926329029042e-06	1.417126e-01
1.362926329029042e-06	1.417126e-01
1.372926329029043e-06	1.417126e-01
1.387069186171901e-06	1.417126e-01
1.401212043314760e-06	1.417126e-01
1.415354900457618e-06	1.417126e-01
1.429497757600476e-06	1.417126e-01
1.443640614743334e-06	1.417126e-01
1.457783471886192e-06	1.417126e-01
1.471926329029051e-06	1.417126e-01
1.492497757600481e-06	1.417126e-01
1.513069186171911e-06	1.417126e-01
1.533640614743341e-06	1.417126e-01
1.554212043314771e-06	1.417126e-01
1.574783471886201e-06	1.417126e-01
1.595354900457631e-06	1.417126e-01
1.615926329029061e-06	1.417127e-01
1.630783471886205e-06	1.417127e-01
1.645640614743349e-06	1.417127e-01
1.660497757600493e-06	1.417127e-01
1.675354900457637e-06	1.417127e-01
1.690212043314781e-06	1.417127e-01
1.705069186171925e-06	1.417127e-01
1.719926329029069e-06	1.417127e-01
1.726497757600498e-06	1.417126e-01
1.733069186171927e-06	1.417126e-01
1.739640614743357e-06	1.417126e-01
1.746212043314785e-06	1.417127e-01
1.752783471886215e-06	1.417127e-01
1.759354900457644e-06	1.417127e-01
1.765926329029073e-06	1.417127e-01
1.766926329029073e-06	1.417127e-01
1.785640614743360e-06	1.417127e-01
1.804354900457647e-06	1.417127e-01
1.823069186171934e-06	1.417127e-01
1.841783471886221e-06	1.417127e-01
1.860497757600508e-06	1.417127e-01
1.879212043314795e-06	1.417127e-01
1.897926329029083e-06	1.417127e-01
1.912603382024928e-06	1.417127e-01
1.927280435020774e-06	1.417127e-01
1.941957488016619e-06	1.417127e-01
1.956634541012464e-06	1.417127e-01
1.971311594008309e-06	1.417127e-01
1.985988647004155e-06	1.417127e-01
2.000665700000000e-06	1.417127e-01
2.000666700000000e-06	1.417127e-01
2.000668700000000e-06	1.417127e-01
2.000672700000000e-06	1.417127e-01
2.000675700000000e-06	1.417127e-01
2.000676231659779e-06	1.417127e-01
2.000677294979336e-06	1.417127e-01
2.000679421618451e-06	1.417127e-01
2.000683674896681e-06	1.417127e-01
2.000685700000000e-06	1.417127e-01
2.000687078293901e-06	1.417127e-01
2.000688916019103e-06	1.417127e-01
2.000692591469507e-06	1.417127e-01
2.000699942370315e-06	1.417127e-01
2.000711066107730e-06	1.417127e-01
2.000722229971980e-06	1.417128e-01
2.000728500000000e-06	1.417128e-01
2.000729110000000e-06	1.417128e-01
2.000730330000000e-06	1.417128e-01
2.000732770000000e-06	1.417128e-01
2.000734600000000e-06	1.417129e-01
2.000734990000000e-06	1.417129e-01
2.000735770000000e-06	1.417129e-01
2.000737330000000e-06	1.417129e-01
2.000738500000000e-06	1.417129e-01
2.000738812000000e-06	1.417129e-01
2.000739436000000e-06	1.417129e-01
2.000740684000000e-06	1.417129e-01
2.000743180000000e-06	1.417129e-01
2.000744600000000e-06	1.417130e-01
2.000746097600000e-06	1.417130e-01
2.000748094400000e-06	1.417130e-01
2.000752088000000e-06	1.417131e-01
2.000760075200001e-06	1.417132e-01
2.000771800000000e-06	1.417134e-01
2.000772800000000e-06	1.417134e-01
2.000774800000000e-06	1.417134e-01
2.000778800000000e-06	1.417135e-01
2.000781800000000e-06	1.417135e-01
2.000782309596594e-06	1.417135e-01
2.000783328789781e-06	1.417136e-01
2.000785367176155e-06	1.417136e-01
2.000788678375750e-06	1.417137e-01
2.000791800000000e-06	1.417138e-01
2.000793530233062e-06	1.417138e-01
2.000795837210477e-06	1.417138e-01
2.000800451165309e-06	1.417139e-01
2.000809679074972e-06	1.417142e-01
2.000822918056423e-06	1.417146e-01
2.000837313929360e-06	1.417150e-01
2.000855174267992e-06	1.417157e-01
2.000876893416630e-06	1.417166e-01
2.000907614410368e-06	1.417181e-01
2.000950489627884e-06	1.417206e-01
2.001022666910390e-06	1.417264e-01
2.001161053659552e-06	1.417448e-01
2.001385448475201e-06	1.418133e-01
2.001603458952450e-06	1.419778e-01
2.001834390239951e-06	1.423127e-01
2.002084732027270e-06	1.428833e-01
2.002315509096852e-06	1.447414e-01
2.002446044905344e-06	1.518337e-01
2.002539664500387e-06	1.719115e-01
2.002665480556058e-06	2.292252e-01
2.002787004491454e-06	3.205116e-01
2.002960799728644e-06	5.184972e-01
2.003233201939045e-06	9.228776e-01
2.003426380798839e-06	1.230555e+00
2.003591201791479e-06	1.436801e+00
2.003771056014554e-06	1.517691e+00
2.003964234220080e-06	1.420365e+00
2.004158724641048e-06	1.171084e+00
2.004324027533880e-06	8.880872e-01
2.004476049606887e-06	6.162117e-01
2.004612087939690e-06	4.005809e-01
2.004721839535822e-06	2.717794e-01
2.004833987148963e-06	1.948792e-01
2.004936777320644e-06	1.623374e-01
2.005005397344382e-06	1.538178e-01
2.005091396383491e-06	1.494911e-01
2.005192864821441e-06	1.470943e-01
2.005354032260436e-06	1.453613e-01
2.005559518669624e-06	1.441840e-01
2.005776867193644e-06	1.434102e-01
2.006021661184580e-06	1.428184e-01
2.006329209093633e-06	1.423035e-01
2.006646203741950e-06	1.419636e-01
2.006976231160009e-06	1.417997e-01
2.007391130447407e-06	1.417413e-01
2.007828191417771e-06	1.417233e-01
2.008253041376368e-06	1.417154e-01
2.008752635078273e-06	1.417114e-01
2.009430683837394e-06	1.417089e-01
2.010282529580651e-06	1.417080e-01
2.011075545094195e-06	1.417079e-01
2.011955442572837e-06	1.417080e-01
2.012932066906282e-06	1.417081e-01
2.013932066906282e-06	1.417082e-01
2.014932066906282e-06	1.417083e-01
2.015932066906282e-06	1.417085e-01
2.016932066906282e-06	1.417087e-01
2.017932066906282e-06	1.417090e-01
2.018932066906282e-06	1.417093e-01
2.019932066906282e-06	1.417096e-01
2.020932066906283e-06	1.417098e-01
2.021932066906283e-06	1.417101e-01
2.022932066906283e-06	1.417104e-01
2.023932066906283e-06	1.417107e-01
2.024932066906283e-06	1.417110e-01
2.025932066906283e-06	1.417113e-01
2.026932066906283e-06	1.417116e-01
2.027932066906283e-06	1.417119e-01
2.029932066906283e-06	1.417123e-01
2.031932066906283e-06	1.417127e-01
2.032932066906283e-06	1.417128e-01
2.033932066906284e-06	1.417129e-01
2.034932066906284e-06	1.417130e-01
2.035932066906284e-06	1.417131e-01
2.036932066906284e-06	1.417132e-01
2.037932066906284e-06	1.417132e-01
2.038932066906284e-06	1.417132e-01
2.040932066906284e-06	1.417132e-01
2.042932066906284e-06	1.417132e-01
2.044932066906284e-06	1.417131e-01
2.046932066906284e-06	1.417131e-01
2.048932066906285e-06	1.417130e-01
2.050932066906285e-06	1.417129e-01
2.052932066906285e-06	1.417128e-01
2.055932066906285e-06	1.417127e-01
2.058932066906285e-06	1.417127e-01
2.061932066906286e-06	1.417126e-01
2.064932066906286e-06	1.417126e-01
2.067932066906286e-06	1.417126e-01
2.070932066906286e-06	1.417126e-01
